trial_id,trial_hash,fixture_role,closest_clearance_m,seed,condition,initial_state_hash,parameters_hash,dt_ms,telemetry_bin_ms,input_onset_ms,first_escape_sim_ms,escaped,lc4_spikes,lplc2_spikes,dnp01_spikes,simulated_duration_ms,wall_compute_ms,trace_file
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,hit,-0.008000,41003,baseline,ee7efd61da6bdaa1c69472105c2f3c608e7531afdd8042ff798b37c3b091ba99,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,113.5,true,2041,3278,283,800.0,722.725,evidence/traces/course-02-seed-41003-baseline.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,hit,-0.008000,41003,sensory_outputs_silenced,ee7efd61da6bdaa1c69472105c2f3c608e7531afdd8042ff798b37c3b091ba99,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2022,3278,0,800.0,538.799,evidence/traces/course-02-seed-41003-sensory_outputs_silenced.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,hit,-0.008000,41004,baseline,7b71dd765a1e3ee442f97809bc8055354880fa5c6120cd36b5e2f1c3fdab9869,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.5,true,2106,3207,282,800.0,839.197,evidence/traces/course-02-seed-41004-baseline.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,hit,-0.008000,41004,sensory_outputs_silenced,7b71dd765a1e3ee442f97809bc8055354880fa5c6120cd36b5e2f1c3fdab9869,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2088,3207,0,800.0,572.227,evidence/traces/course-02-seed-41004-sensory_outputs_silenced.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,hit,-0.008000,41005,baseline,eed398a61b76e305ba70373aecd6270c3ebd0386619096040793bebd28b04454,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.0,true,2085,3284,277,800.0,732.011,evidence/traces/course-02-seed-41005-baseline.json
course-02,fa497d7c6d5f41a7947a72678ecb673ab5fadfa68ca1782dba2a5723666c3dad,hit,-0.008000,41005,sensory_outputs_silenced,eed398a61b76e305ba70373aecd6270c3ebd0386619096040793bebd28b04454,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2071,3284,0,800.0,589.22,evidence/traces/course-02-seed-41005-sensory_outputs_silenced.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41001,baseline,eb5ba4e5489151f2f459913ac80af0e7731e49fdecafaf3d812eb32eb0d2bf5a,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,110.5,true,2825,3358,237,800.0,732.916,evidence/traces/course-03-seed-41001-baseline.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41001,sensory_outputs_silenced,eb5ba4e5489151f2f459913ac80af0e7731e49fdecafaf3d812eb32eb0d2bf5a,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2702,3332,0,800.0,581.02,evidence/traces/course-03-seed-41001-sensory_outputs_silenced.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41002,baseline,1a7eba11f538098fd724f4d71b5188817fda1736a418640643395fd38d7cefb5,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.0,true,2931,3508,245,800.0,721.661,evidence/traces/course-03-seed-41002-baseline.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41002,sensory_outputs_silenced,1a7eba11f538098fd724f4d71b5188817fda1736a418640643395fd38d7cefb5,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2790,3445,0,800.0,612.542,evidence/traces/course-03-seed-41002-sensory_outputs_silenced.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41003,baseline,6cdc8adfc74330d39a31b56494bc5e446d65cd2e0a2eb4e0d49b7bbe51014070,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.0,true,2837,3392,242,800.0,711.931,evidence/traces/course-03-seed-41003-baseline.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41003,sensory_outputs_silenced,6cdc8adfc74330d39a31b56494bc5e446d65cd2e0a2eb4e0d49b7bbe51014070,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2721,3354,0,800.0,585.121,evidence/traces/course-03-seed-41003-sensory_outputs_silenced.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41004,baseline,e7bb3710d102cb7b9e3b4093ce57815e935ad0bd75b0f49480dcdd1319ab83d4,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.0,true,2817,3473,233,800.0,724.464,evidence/traces/course-03-seed-41004-baseline.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41004,sensory_outputs_silenced,e7bb3710d102cb7b9e3b4093ce57815e935ad0bd75b0f49480dcdd1319ab83d4,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2710,3422,0,800.0,803.407,evidence/traces/course-03-seed-41004-sensory_outputs_silenced.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41005,baseline,689b7e627ad42102c1a0384fd23405fe6f72e83443c82c58fa6913b52f31fade,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.0,true,2857,3461,245,800.0,714.567,evidence/traces/course-03-seed-41005-baseline.json
course-03,c6670f382d1a36acea065c24e2c1693899d5e7dafd72bfbf3a35156c2bac91f7,hit,-0.004000,41005,sensory_outputs_silenced,689b7e627ad42102c1a0384fd23405fe6f72e83443c82c58fa6913b52f31fade,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2728,3413,0,800.0,594.014,evidence/traces/course-03-seed-41005-sensory_outputs_silenced.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41001,baseline,3ed00141dfa8389ce12101020e9b6853d7ad7289fbe05084b297abb12e876e76,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.0,true,2152,3278,255,800.0,798.406,evidence/traces/course-04-seed-41001-baseline.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41001,sensory_outputs_silenced,3ed00141dfa8389ce12101020e9b6853d7ad7289fbe05084b297abb12e876e76,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2127,3277,0,800.0,663.023,evidence/traces/course-04-seed-41001-sensory_outputs_silenced.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41002,baseline,d452fb286c81502b7722d1df99d58f7c45cbb70ee534b65026bd5ca195508636,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,113.0,true,2007,3357,254,800.0,778.383,evidence/traces/course-04-seed-41002-baseline.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41002,sensory_outputs_silenced,d452fb286c81502b7722d1df99d58f7c45cbb70ee534b65026bd5ca195508636,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,1990,3357,0,800.0,1115.089,evidence/traces/course-04-seed-41002-sensory_outputs_silenced.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41003,baseline,384d655fbc546b5406b1441f412e275b649f63522eafbf053cb7a764b576d925,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,113.0,true,2204,3292,264,800.0,750.928,evidence/traces/course-04-seed-41003-baseline.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41003,sensory_outputs_silenced,384d655fbc546b5406b1441f412e275b649f63522eafbf053cb7a764b576d925,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2181,3292,0,800.0,654.681,evidence/traces/course-04-seed-41003-sensory_outputs_silenced.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41004,baseline,b9b534c0b9cc58b6e74de5099c982435ab1a84b63d62220162554314fc08888c,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.0,true,2048,3259,258,800.0,766.934,evidence/traces/course-04-seed-41004-baseline.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41004,sensory_outputs_silenced,b9b534c0b9cc58b6e74de5099c982435ab1a84b63d62220162554314fc08888c,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2026,3258,0,800.0,670.879,evidence/traces/course-04-seed-41004-sensory_outputs_silenced.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41005,baseline,7a13ec38547d45a2ea56c541ecd3f1f7aee59d3abc6511e246ede029357f49e5,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.5,true,2117,3392,262,800.0,742.808,evidence/traces/course-04-seed-41005-baseline.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,hit,-0.002000,41005,sensory_outputs_silenced,7a13ec38547d45a2ea56c541ecd3f1f7aee59d3abc6511e246ede029357f49e5,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2104,3392,0,800.0,1058.916,evidence/traces/course-04-seed-41005-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41001,baseline,0e700f7417565f492bb8ef928738f33dbbfeff7a4abce6f503c468acf8b94f95,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.5,true,2061,3224,247,800.0,737.483,evidence/traces/course-05-seed-41001-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41001,sensory_outputs_silenced,0e700f7417565f492bb8ef928738f33dbbfeff7a4abce6f503c468acf8b94f95,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2041,3224,0,800.0,673.768,evidence/traces/course-05-seed-41001-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41002,baseline,6a240f7ab67c5729b052b36eaf1303683d89a9b9d8f34730867d0879202aa089,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.5,true,2142,3168,255,800.0,747.135,evidence/traces/course-05-seed-41002-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41002,sensory_outputs_silenced,6a240f7ab67c5729b052b36eaf1303683d89a9b9d8f34730867d0879202aa089,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2125,3168,0,800.0,684.39,evidence/traces/course-05-seed-41002-sensory_outputs_silenced.json
