trial_id,trial_hash,seed,condition,escape_sim_ms,lc4_spikes,lplc2_spikes,dnp01_spikes,wall_compute_ms,trace_file
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,41002,sensory_outputs_silenced,,1990,3357,0,1115.089,course-04-seed-41002-sensory_outputs_silenced.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,41003,baseline,113.000,2204,3292,264,750.928,course-04-seed-41003-baseline.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,41003,sensory_outputs_silenced,,2181,3292,0,654.681,course-04-seed-41003-sensory_outputs_silenced.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,41004,baseline,112.000,2048,3259,258,766.934,course-04-seed-41004-baseline.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,41004,sensory_outputs_silenced,,2026,3258,0,670.879,course-04-seed-41004-sensory_outputs_silenced.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,41005,baseline,112.500,2117,3392,262,742.808,course-04-seed-41005-baseline.json
course-04,afd88a7b613eadf6777fa480d7ad0a24c08a8a5992cbdbb83a9dd0bb1d469f51,41005,sensory_outputs_silenced,,2104,3392,0,1058.916,course-04-seed-41005-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41001,baseline,112.500,2061,3224,247,737.483,course-05-seed-41001-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41001,sensory_outputs_silenced,,2041,3224,0,673.768,course-05-seed-41001-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41002,baseline,112.500,2142,3168,255,747.135,course-05-seed-41002-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41002,sensory_outputs_silenced,,2125,3168,0,684.390,course-05-seed-41002-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41003,baseline,112.000,2103,3379,263,770.157,course-05-seed-41003-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41003,sensory_outputs_silenced,,2087,3378,0,679.681,course-05-seed-41003-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41004,baseline,112.500,2106,3351,261,753.880,course-05-seed-41004-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41004,sensory_outputs_silenced,,2083,3351,0,689.910,course-05-seed-41004-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41005,baseline,113.000,2103,3244,251,747.003,course-05-seed-41005-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,41005,sensory_outputs_silenced,,2084,3244,0,689.108,course-05-seed-41005-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41001,baseline,111.500,2769,3373,234,744.335,course-06-seed-41001-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41001,sensory_outputs_silenced,,2639,3339,0,680.495,course-06-seed-41001-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41002,baseline,112.000,2684,3256,230,808.249,course-06-seed-41002-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41002,sensory_outputs_silenced,,2591,3231,0,1165.658,course-06-seed-41002-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41003,baseline,112.500,2748,3412,243,740.430,course-06-seed-41003-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41003,sensory_outputs_silenced,,2644,3392,0,673.494,course-06-seed-41003-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41004,baseline,111.500,2706,3367,235,714.977,course-06-seed-41004-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41004,sensory_outputs_silenced,,2601,3338,0,657.824,course-06-seed-41004-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41005,baseline,113.000,2709,3260,220,735.070,course-06-seed-41005-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,41005,sensory_outputs_silenced,,2603,3231,0,920.193,course-06-seed-41005-sensory_outputs_silenced.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41001,baseline,112.500,1899,2988,219,757.034,course-07-seed-41001-baseline.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41001,sensory_outputs_silenced,,1886,2988,0,713.897,course-07-seed-41001-sensory_outputs_silenced.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41002,baseline,113.000,1942,2972,229,773.279,course-07-seed-41002-baseline.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41002,sensory_outputs_silenced,,1929,2972,0,847.726,course-07-seed-41002-sensory_outputs_silenced.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41003,baseline,112.000,1998,3048,233,1005.217,course-07-seed-41003-baseline.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41003,sensory_outputs_silenced,,1983,3048,0,855.391,course-07-seed-41003-sensory_outputs_silenced.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41004,baseline,112.500,1876,3125,229,755.702,course-07-seed-41004-baseline.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41004,sensory_outputs_silenced,,1863,3125,0,668.665,course-07-seed-41004-sensory_outputs_silenced.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41005,baseline,113.000,1960,3100,230,798.596,course-07-seed-41005-baseline.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,41005,sensory_outputs_silenced,,1946,3100,0,715.491,course-07-seed-41005-sensory_outputs_silenced.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41001,baseline,110.500,2042,2803,199,748.742,course-08-seed-41001-baseline.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41001,sensory_outputs_silenced,,2006,2801,0,740.134,course-08-seed-41001-sensory_outputs_silenced.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41002,baseline,111.000,1975,2898,202,932.895,course-08-seed-41002-baseline.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41002,sensory_outputs_silenced,,1953,2893,0,1170.290,course-08-seed-41002-sensory_outputs_silenced.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41003,baseline,112.500,1973,2882,190,949.730,course-08-seed-41003-baseline.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41003,sensory_outputs_silenced,,1935,2880,0,708.248,course-08-seed-41003-sensory_outputs_silenced.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41004,baseline,110.500,2066,2852,199,749.251,course-08-seed-41004-baseline.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41004,sensory_outputs_silenced,,2030,2850,0,1084.245,course-08-seed-41004-sensory_outputs_silenced.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41005,baseline,112.500,1989,2874,194,741.392,course-08-seed-41005-baseline.json
course-08,6d3644e5faffef200c4c9bf60296f0308a18576a440cefd765d51e5d1006b0c9,41005,sensory_outputs_silenced,,1958,2869,0,808.031,course-08-seed-41005-sensory_outputs_silenced.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41001,baseline,,0,0,0,429.168,course-09-seed-41001-baseline.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41001,sensory_outputs_silenced,,0,0,0,426.886,course-09-seed-41001-sensory_outputs_silenced.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41002,baseline,,0,0,0,426.640,course-09-seed-41002-baseline.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41002,sensory_outputs_silenced,,0,0,0,412.730,course-09-seed-41002-sensory_outputs_silenced.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41003,baseline,,0,0,0,426.569,course-09-seed-41003-baseline.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41003,sensory_outputs_silenced,,0,0,0,433.927,course-09-seed-41003-sensory_outputs_silenced.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41004,baseline,,0,0,0,426.106,course-09-seed-41004-baseline.json
